,date,predicted_class,vader_score
140,2020-01-28,Social,0.16613000000000003
141,2020-02-03,Social,-0.0772
142,2020-02-04,Environmental,0.23204545454545453
143,2020-02-07,Environmental,0.040449999999999986
144,2020-02-07,Social,0.2263
145,2020-02-13,Environmental,0.1779
146,2020-02-13,Social,-0.28006666666666663
147,2020-02-18,Environmental,0.08895
148,2020-02-18,Social,0.2871142857142857
149,2020-03-06,Social,0.7906
150,2020-03-12,Environmental,0.29416000000000003
151,2020-03-12,Social,0.2572857142857143
152,2020-03-16,Environmental,0.45154444444444447
153,2020-03-16,Social,0.31845
154,2020-03-27,Environmental,0.4939
155,2020-03-27,Social,0.2652875
156,2020-04-07,Social,0.0
157,2020-04-13,Social,0.6950000000000001
158,2020-04-15,Environmental,0.3396929411764706
159,2020-04-15,Social,0.2127
160,2020-04-17,Social,0.3820666666666667
161,2020-04-22,Social,0.6735500000000001
162,2020-05-06,Environmental,0.5188545454545455
163,2020-05-06,Social,0.4712
164,2020-05-08,Environmental,0.64355
165,2020-05-08,Social,0.51425
166,2020-05-15,Environmental,0.10553000000000001
167,2020-05-15,Social,0.6369
168,2020-05-17,Social,0.0
169,2020-05-26,Environmental,0.5985400000000001
170,2020-05-26,Social,0.8223333333333334
171,2020-05-29,Environmental,0.0
172,2020-06-10,Environmental,0.253225
173,2020-06-10,Social,-0.21005
174,2020-06-11,Environmental,0.2529291666666667
175,2020-06-11,Social,0.428925
176,2020-06-25,Environmental,0.9393
177,2020-06-25,Social,0.74545
178,2020-07-01,Environmental,0.5512083333333333
179,2020-07-01,Social,-0.1486
180,2020-07-02,Environmental,0.48030999999999996
181,2020-07-02,Social,0.0
182,2020-07-06,Environmental,-0.0048564102564102535
183,2020-07-06,Social,0.4172833333333333
184,2020-07-15,Environmental,0.523624
185,2020-07-15,Social,0.042833333333333334
186,2020-07-21,Environmental,0.32546470588235293
187,2020-07-21,Social,0.49368
188,2020-07-23,Environmental,0.45215
189,2020-07-23,Social,0.15517142857142857
190,2020-07-25,Environmental,0.5859
191,2020-07-27,Environmental,0.236709375
192,2020-07-30,Environmental,0.22475354330708663
